combination,lift
"('mazda', 'smooth')",0.004545454545454545
"('mazda', 'pricey')",0.006060606060606061
"('mazda', 'favorite')",0.005454545454545455
"('mazda', 'brand')",0.002384500745156483
"('mercedes', 'luxury')",0.04
"('mercedes', 'lux')",0.4
"('mercedes', 'style')",0.005633802816901409
"('mercedes', 'buy')",0.0020761245674740486
"('mercedes', 'own')",0.007407407407407408
"('mercedes', 'class')",0.004081632653061225
"('mercury', 'style')",0.003129890453834116
"('mercury', 'buy')",0.0011534025374855825
"('mercury', 'wish')",0.0035842293906810036
"('mercury', 'own')",0.0051440329218107
"('mercury', 'expensive')",0.003472222222222222
"('mercury', 'smooth')",0.005050505050505051
"('mitsubishi', 'luxury')",0.02
"('mitsubishi', 'lux')",0.2
"('mitsubishi', 'style')",0.0028169014084507044
"('mitsubishi', 'buy')",0.0006920415224913495
"('mitsubishi', 'own')",0.005555555555555556
"('mitsubishi', 'expensive')",0.00625
"('mitsubishi', 'class')",0.0020408163265306124
"('nissan', 'lux')",0.034482758620689655
"('nissan', 'style')",0.0029140359397765905
"('nissan', 'buy')",0.001789762558167283
"('nissan', 'wish')",0.002224694104560623
"('nissan', 'own')",0.0070242656449553
"('nissan', 'dream')",0.007662835249042145
"('nissan', 'expensive')",0.007543103448275862
"('nissan', 'class')",0.0031667839549612948
"('nissan', 'smooth')",0.009404388714733543
"('nissan', 'pricey')",0.0038314176245210726
"('nissan', 'favorite')",0.005172413793103448
"('nissan', 'brand')",0.00395703787450537
"('pontiac', 'luxury')",0.1
"('pontiac', 'lux')",1.0
"('pontiac', 'style')",0.04929577464788732
"('pontiac', 'buy')",0.006920415224913495
"('pontiac', 'wish')",0.016129032258064516
"('pontiac', 'own')",0.013888888888888888
"('pontiac', 'class')",0.01020408163265306
"('pontiac', 'smooth')",0.03409090909090909
"('pontiac', 'brand')",0.02459016393442623
"('saturn', 'luxury')",0.007142857142857143
"('saturn', 'lux')",0.07142857142857142
"('saturn', 'style')",0.0030181086519114686
"('saturn', 'buy')",0.001235788433020267
